geoid,geoid20,year,denom_total_hh,denom_youth_hh,avg_hh_size,youth_singleparenthh_count,youth_singleparenthh_pct,families_children_count,families_children_pct,living_alone_count,living_alone_pct,same_sex_count,same_sex_pct,opp_sex_count,opp_sex_pct
1400000US06037123303,6037123303,2021,918,547,3.3499999,132,24.131626,241,26.987682,232.17999,26,6,.65359479,514,55.991287
1400000US06037123304,6037123304,2021,1806,843,2.55,406,48.161327,391,22.355631,827.27698,47.299999,8,.44296789,744,41.196014
1400000US06037123410,6037123410,2021,1288,810,3.0899999,94,11.604939,427,35.231022,197.55598,16.299999,15,1.1645963,680,52.795033
1400000US06037123420,6037123420,2021,1655,950,2.9000001,259,27.263159,475,29.26679,459.30899,28.299999,20,1.2084593,904,54.622356
1400000US06037123510,6037123510,2021,1678,1240,3.0599999,346,27.903225,450,27.760641,348.51501,21.5,65,3.8736591,759,45.232418
1400000US06037123520,6037123520,2021,816,580,3.55,47,8.1034479,294,38.633377,229.061,30.1,6,.7352941,453,55.514706
1400000US06037123601,6037123601,2021,1965,983,2.48,315,32.044762,460,24.248814,514.08704,27.1,56,2.8498728,914,46.513996
1400000US06037123602,6037123602,2021,1293,703,2.76,188,26.742533,323,26.153847,474.24002,38.400002,27,2.088167,558,43.155453
1400000US06037123700,6037123700,2021,1782,711,2.6700001,52,7.313643,330,19.736841,463.14401,27.700001,50,2.8058362,736,41.301907
1400000US06037123800,6037123800,2021,2386,871,2.5599999,206,23.650976,487,21.770227,565.961,25.299999,11,.46102265,1274,53.394802
1400000US06037123901,6037123901,2021,1558,985,2.95,245,24.873096,370,26.390871,403.776,28.799999,27,1.732991,680,43.645699
1400000US06037123902,6037123902,2021,1141,632,2.5699999,90,14.240506,308,28.413284,184.28,17,0,0,521,45.661701
1400000US06037124000,6037124000,2021,2214,840,2.29,138,16.428572,470,22.243256,735.32397,34.799999,30,1.3550136,888,40.108402
1400000US06037124102,6037124102,2021,1529,733,2.6400001,138,18.82674,449,33.014706,228.48,16.799999,0,0,718,46.958797
1400000US06037124103,6037124103,2021,598,483,3.4300001,63,13.043478,196,34.385963,152.75999,26.799999,22,3.6789298,353,59.030102
1400000US06037124104,6037124104,2021,1093,471,2.5599999,112,23.779194,181,17.832512,213.14999,21,11,1.0064044,336,30.741079
1400000US06037124105,6037124105,2021,887,569,2.8599999,53,9.3145866,284,33.490566,111.936,13.2,0,0,417,47.012402
1400000US06037124201,6037124201,2021,1170,548,3.26,98,17.883211,212,19.831619,295.04401,27.6,9,.76923078,446,38.119659
1400000US06037124203,6037124203,2021,847,313,2.6099999,81,25.878593,188,23.707439,199.043,25.1,11,1.2987013,374,44.155846
